state,protection,rate
iowa,protected_1,0.784
iowa,protected_2,0.792
iowa,protected_3,0.8
iowa,protected_4,0.808
iowa,protected_5,0.816
iowa,partially_protected,1.158
iowa,unprotected,1.526
montana,protected_1,0.722
montana,protected_2,0.73
montana,protected_3,0.737
montana,protected_4,0.744
montana,protected_5,0.752
montana,partially_protected,1.158
montana,unprotected,1.526
nebraska,protected_1,0.846
nebraska,protected_2,0.854
nebraska,protected_3,0.863
nebraska,protected_4,0.872
nebraska,protected_5,0.88
nebraska,partially_protected,1.158
nebraska,unprotected,1.526
arkansas,protected_1,0.784
arkansas,protected_2,0.792
arkansas,protected_3,0.8
arkansas,protected_4,0.808
arkansas,protected_5,0.816
arkansas,partially_protected,1.158
arkansas,unprotected,1.526
colorado,protected_1,0.784
colorado,protected_2,0.792
colorado,protected_3,0.8
colorado,protected_4,0.808
colorado,protected_5,0.816
colorado,partially_protected,1.158
colorado,unprotected,1.526
georgia,protected_1,0.722
georgia,protected_2,0.73
georgia,protected_3,0.737
georgia,protected_4,0.744
georgia,protected_5,0.752
georgia,partially_protected,1.158
georgia,unprotected,1.526
illinois,protected_1,0.784
illinois,protected_2,0.792
illinois,protected_3,0.8
illinois,protected_4,0.808
illinois,protected_5,0.816
illinois,partially_protected,1.158
illinois,unprotected,1.526
indiana,protected_1,0.784
indiana,protected_2,0.792
indiana,protected_3,0.8
indiana,protected_4,0.808
indiana,protected_5,0.816
indiana,partially_protected,1.158
indiana,unprotected,1.526
kentucky,protected_1,0.784
kentucky,protected_2,0.792
kentucky,protected_3,0.8
kentucky,protected_4,0.808
kentucky,protected_5,0.816
kentucky,partially_protected,1.158
kentucky,unprotected,1.526
minnesota,protected_1,0.722
minnesota,protected_2,0.73
minnesota,protected_3,0.737
minnesota,protected_4,0.744
minnesota,protected_5,0.752
minnesota,partially_protected,1.158
minnesota,unprotected,1.526
missouri,protected_1,0.722
missouri,protected_2,0.73
missouri,protected_3,0.737
missouri,protected_4,0.744
missouri,protected_5,0.752
missouri,partially_protected,1.158
missouri,unprotected,1.526
north_dakota,protected_1,0.846
north_dakota,protected_2,0.854
north_dakota,protected_3,0.863
north_dakota,protected_4,0.872
north_dakota,protected_5,0.88
north_dakota,partially_protected,1.158
north_dakota,unprotected,1.526
ohio,protected_1,0.722
ohio,protected_2,0.73
ohio,protected_3,0.737
ohio,protected_4,0.744
ohio,protected_5,0.752
ohio,partially_protected,1.158
ohio,unprotected,1.526
pennsylvania,protected_1,0.722
pennsylvania,protected_2,0.73
pennsylvania,protected_3,0.737
pennsylvania,protected_4,0.744
pennsylvania,protected_5,0.752
pennsylvania,partially_protected,1.158
pennsylvania,unprotected,1.526
south_dakota,protected_1,0.846
south_dakota,protected_2,0.854
south_dakota,protected_3,0.863
south_dakota,protected_4,0.872
south_dakota,protected_5,0.88
south_dakota,partially_protected,1.158
south_dakota,unprotected,1.526
texas,protected_1,0.784
texas,protected_2,0.792
texas,protected_3,0.8
texas,protected_4,0.808
texas,protected_5,0.816
texas,partially_protected,1.158
texas,unprotected,1.526
washington,protected_1,0.618
washington,protected_2,0.625
washington,protected_3,0.631
washington,protected_4,0.637
washington,protected_5,0.644
washington,partially_protected,1.133
washington,unprotected,1.333
wyoming,protected_1,0.784
wyoming,protected_2,0.792
wyoming,protected_3,0.8
wyoming,protected_4,0.808
wyoming,protected_5,0.816
wyoming,partially_protected,1.158
wyoming,unprotected,1.526
new_mexico,protected_1,0.722
new_mexico,protected_2,0.73
new_mexico,protected_3,0.737
new_mexico,protected_4,0.744
new_mexico,protected_5,0.752
new_mexico,partially_protected,1.158
new_mexico,unprotected,1.526
idaho,protected_1,0.722
idaho,protected_2,0.73
idaho,protected_3,0.737
idaho,protected_4,0.744
idaho,protected_5,0.752
idaho,partially_protected,1.158
idaho,unprotected,1.526
oklahoma,protected_1,0.784
oklahoma,protected_2,0.792
oklahoma,protected_3,0.8
oklahoma,protected_4,0.808
oklahoma,protected_5,0.816
oklahoma,partially_protected,1.158
oklahoma,unprotected,1.526
south_carolina,protected_1,0.722
south_carolina,protected_2,0.73
south_carolina,protected_3,0.737
south_carolina,protected_4,0.744
south_carolina,protected_5,0.752
south_carolina,partially_protected,1.158
south_carolina,unprotected,1.526
north_carolina,protected_1,0.846
north_carolina,protected_2,0.854
north_carolina,protected_3,0.863
north_carolina,protected_4,0.872
north_carolina,protected_5,0.88
north_carolina,partially_protected,1.158
north_carolina,unprotected,1.526
michigan,protected_1,0.784
michigan,protected_2,0.792
michigan,protected_3,0.8
michigan,protected_4,0.808
michigan,protected_5,0.816
michigan,partially_protected,1.158
michigan,unprotected,1.526
tennessee,protected_1,0.693
tennessee,protected_2,0.7
tennessee,protected_3,0.707
tennessee,protected_4,0.714
tennessee,protected_5,0.721
tennessee,partially_protected,1.158
tennessee,unprotected,1.526
mississippi,protected_1,0.798
mississippi,protected_2,0.806
mississippi,protected_3,0.814
mississippi,protected_4,0.822
mississippi,protected_5,0.83
mississippi,partially_protected,1.158
mississippi,unprotected,1.526
utah,protected_1,0.722
utah,protected_2,0.73
utah,protected_3,0.737
utah,protected_4,0.744
utah,protected_5,0.752
utah,partially_protected,1.158
utah,unprotected,1.526
wisconsin,protected_1,0.722
wisconsin,protected_2,0.73
wisconsin,protected_3,0.737
wisconsin,protected_4,0.744
wisconsin,protected_5,0.752
wisconsin,partially_protected,1.158
wisconsin,unprotected,1.526
nevada,protected_1,0.707
nevada,protected_2,0.714
nevada,protected_3,0.721
nevada,protected_4,0.728
nevada,protected_5,0.735
nevada,partially_protected,1.158
nevada,unprotected,1.526
kansas,protected_1,0.611
kansas,protected_2,0.689
kansas,protected_3,0.786
kansas,protected_4,0.883
kansas,protected_5,1
kansas,partially_protected,1.158
kansas,unprotected,1.526
alabama,protected_1,0.614
alabama,protected_2,0.621
alabama,protected_3,0.627
alabama,protected_4,0.633
alabama,protected_5,0.64
alabama,partially_protected,1.133
alabama,unprotected,1.33
new_jersey,protected_1,0.722
new_jersey,protected_2,0.73
new_jersey,protected_3,0.737
new_jersey,protected_4,0.744
new_jersey,protected_5,0.752
new_jersey,partially_protected,1.158
new_jersey,unprotected,1.526
oregon,protected_1,0.722
oregon,protected_2,0.73
oregon,protected_3,0.737
oregon,protected_4,0.744
oregon,protected_5,0.752
oregon,partially_protected,1.158
oregon,unprotected,1.526
west_virginia,protected_1,0.784
west_virginia,protected_2,0.792
west_virginia,protected_3,0.8
west_virginia,protected_4,0.808
west_virginia,protected_5,0.816
west_virginia,partially_protected,1.158
west_virginia,unprotected,1.526
new_hampshire,protected_1,0.722
new_hampshire,protected_2,0.73
new_hampshire,protected_3,0.737
new_hampshire,protected_4,0.744
new_hampshire,protected_5,0.752
new_hampshire,partially_protected,1.158
new_hampshire,unprotected,1.526
california,protected_1,0.693
california,protected_2,0.7
california,protected_3,0.707
california,protected_4,0.714
california,protected_5,0.721
california,partially_protected,1.133
california,unprotected,1.333
connecticut,protected_1,0.722
connecticut,protected_2,0.73
connecticut,protected_3,0.737
connecticut,protected_4,0.744
connecticut,protected_5,0.752
connecticut,partially_protected,1.158
connecticut,unprotected,1.526
