state,territory_code,fire_susceptibility,rate
ar,111,low,0.267
ar,111,average,0.374
ar,111,high,0.445
ar,112,low,0.267
ar,112,average,0.374
ar,112,high,0.445
ar,122,low,0.213
ar,122,average,0.298
ar,122,high,0.355
ar,131,low,0.223
ar,131,average,0.312
ar,131,high,0.371
ar,132,low,0.223
ar,132,average,0.312
ar,132,high,0.371
co,111,low,0.095
co,111,average,0.131
co,111,high,0.156
co,112,low,0.095
co,112,average,0.131
co,112,high,0.156
co,113,low,0.095
co,113,average,0.131
co,113,high,0.156
co,114,low,0.095
co,114,average,0.131
co,114,high,0.156
co,124,low,0.092
co,124,average,0.126
co,124,high,0.150
co,133,low,0.007
co,133,average,0.010
co,133,high,0.012
co,134,low,0.007
co,134,average,0.010
co,134,high,0.012
ga,111,low,0.175
ga,111,average,0.243
ga,111,high,0.290
ga,112,low,0.175
ga,112,average,0.243
ga,112,high,0.290
ga,113,low,0.175
ga,113,average,0.243
ga,113,high,0.290
ga,114,low,0.175
ga,114,average,0.243
ga,114,high,0.290
ga,122,low,0.184
ga,122,average,0.257
ga,122,high,0.305
ga,123,low,0.184
ga,123,average,0.257
ga,123,high,0.305
ga,124,low,0.184
ga,124,average,0.257
ga,124,high,0.305
ga,133,low,0.153
ga,133,average,0.213
ga,133,high,0.253
ga,134,low,0.153
ga,134,average,0.213
ga,134,high,0.253
id,111,low,0.143
id,111,average,0.199
id,111,high,0.236
id,112,low,0.143
id,112,average,0.199
id,112,high,0.236
id,122,low,0.125
id,122,average,0.175
id,122,high,0.207
il,111,low,0.091
il,111,average,0.126
il,111,high,0.149
il,112,low,0.091
il,112,average,0.126
il,112,high,0.149
il,113,low,0.091
il,113,average,0.126
il,113,high,0.149
il,114,low,0.091
il,114,average,0.126
il,114,high,0.149
il,121,low,0.077
il,121,average,0.106
il,121,high,0.125
il,122,low,0.077
il,122,average,0.106
il,122,high,0.125
il,123,low,0.077
il,123,average,0.106
il,123,high,0.125
il,124,low,0.077
il,124,average,0.106
il,124,high,0.125
il,132,low,0.072
il,132,average,0.098
il,132,high,0.116
il,134,low,0.072
il,134,average,0.098
il,134,high,0.116
il,144,low,0.129
il,144,average,0.180
il,144,high,0.213
in,111,low,0.149
in,111,average,0.207
in,111,high,0.246
in,112,low,0.149
in,112,average,0.207
in,112,high,0.246
in,113,low,0.149
in,113,average,0.207
in,113,high,0.246
in,121,low,0.147
in,121,average,0.205
in,121,high,0.243
in,131,low,0.125
in,131,average,0.174
in,131,high,0.206
in,131,low,0.125
in,131,average,0.174
in,131,high,0.206
ia,111,low,0.133
ia,111,average,0.185
ia,111,high,0.219
ia,112,low,0.133
ia,112,average,0.185
ia,112,high,0.219
ia,113,low,0.133
ia,113,average,0.185
ia,113,high,0.219
ia,121,low,0.110
ia,121,average,0.153
ia,121,high,0.181
ia,122,low,0.110
ia,122,average,0.153
ia,122,high,0.181
ia,123,low,0.110
ia,123,average,0.153
ia,123,high,0.181
ky,111,low,0.286
ky,111,average,0.400
ky,111,high,0.476
ky,112,low,0.286
ky,112,average,0.400
ky,112,high,0.476
ky,122,low,0.208
ky,122,average,0.290
ky,122,high,0.345
ky,132,low,0.234
ky,132,average,0.327
ky,132,high,0.390
ky,141,low,0.242
ky,141,average,0.338
ky,141,high,0.403
ky,142,low,0.242
ky,142,average,0.338
ky,142,high,0.403
mn,111,low,0.107
mn,111,average,0.148
mn,111,high,0.176
mn,112,low,0.107
mn,112,average,0.148
mn,112,high,0.176
mn,113,low,0.107
mn,113,average,0.148
mn,113,high,0.176
mn,114,low,0.107
mn,114,average,0.148
mn,114,high,0.176
mn,115,low,0.107
mn,115,average,0.148
mn,115,high,0.176
mn,122,low,0.171
mn,122,average,0.238
mn,122,high,0.284
mn,132,low,0.125
mn,132,average,0.174
mn,132,high,0.206
mn,141,low,0.098
mn,141,average,0.135
mn,141,high,0.161
mn,142,low,0.098
mn,142,average,0.135
mn,142,high,0.161
mn,143,low,0.098
mn,143,average,0.135
mn,143,high,0.161
mn,144,low,0.098
mn,144,average,0.135
mn,144,high,0.161
mn,145,low,0.098
mn,145,average,0.135
mn,145,high,0.161
mo,111,low,0.221
mo,111,average,0.310
mo,111,high,0.369
mo,112,low,0.221
mo,112,average,0.310
mo,112,high,0.369
mo,113,low,0.221
mo,113,average,0.310
mo,113,high,0.369
mo,122,low,0.276
mo,122,average,0.387
mo,122,high,0.460
mo,123,low,0.276
mo,123,average,0.387
mo,123,high,0.460
mt,111,low,0.176
mt,111,average,0.245
mt,111,high,0.292
mt,112,low,0.176
mt,112,average,0.245
mt,112,high,0.292
mt,121,low,0.147
mt,121,average,0.205
mt,121,high,0.243
mt,131,low,0.157
mt,131,average,0.219
mt,131,high,0.260
ne,111,low,0.138
ne,111,average,0.193
ne,111,high,0.229
ne,112,low,0.138
ne,112,average,0.193
ne,112,high,0.229
ne,113,low,0.138
ne,113,average,0.193
ne,113,high,0.229
ne,114,low,0.138
ne,114,average,0.193
ne,114,high,0.229
ne,122,low,0.131
ne,122,average,0.183
ne,122,high,0.217
ne,131,low,0.112
ne,131,average,0.156
ne,131,high,0.184
nm,111,low,0.141
nm,111,average,0.197
nm,111,high,0.233
nm,112,low,0.141
nm,112,average,0.197
nm,112,high,0.233
nm,113,low,0.141
nm,113,average,0.197
nm,113,high,0.233
nm,121,low,0.122
nm,121,average,0.170
nm,121,high,0.201
nm,122,low,0.122
nm,122,average,0.170
nm,122,high,0.201
nm,123,low,0.122
nm,123,average,0.170
nm,123,high,0.201
ny,111,low,0.228
ny,111,average,0.319
ny,111,high,0.380
ny,112,low,0.228
ny,112,average,0.319
ny,112,high,0.380
ny,113,low,0.228
ny,113,average,0.319
ny,113,high,0.380
ny,114,low,0.228
ny,114,average,0.319
ny,114,high,0.380
ny,115,low,0.228
ny,115,average,0.319
ny,115,high,0.380
ny,116,low,0.228
ny,116,average,0.319
ny,116,high,0.380
ny,126,low,0.249
ny,126,average,0.349
ny,126,high,0.415
ny,136,low,0.177
ny,136,average,0.246
ny,136,high,0.293
ny,141,low,0.148
ny,141,average,0.207
ny,141,high,0.245
ny,142,low,0.148
ny,142,average,0.207
ny,142,high,0.245
ny,143,low,0.148
ny,143,average,0.207
ny,143,high,0.245
ny,144,low,0.148
ny,144,average,0.207
ny,144,high,0.245
ny,151,low,0.211
ny,151,average,0.295
ny,151,high,0.350
ny,152,low,0.211
ny,152,average,0.295
ny,152,high,0.350
ny,153,low,0.211
ny,153,average,0.295
ny,153,high,0.350
ny,154,low,0.211
ny,154,average,0.295
ny,154,high,0.350
ny,155,low,0.211
ny,155,average,0.295
ny,155,high,0.350
ny,156,low,0.211
ny,156,average,0.295
ny,156,high,0.350
nc,111,low,0.185
nc,111,average,0.258
nc,111,high,0.307
nc,112,low,0.185
nc,112,average,0.258
nc,112,high,0.307
nc,113,low,0.185
nc,113,average,0.258
nc,113,high,0.307
nc,114,low,0.185
nc,114,average,0.258
nc,114,high,0.307
nc,115,low,0.185
nc,115,average,0.258
nc,115,high,0.307
nc,116,low,0.185
nc,116,average,0.258
nc,116,high,0.307
nc,121,low,0.109
nc,121,average,0.152
nc,121,high,0.180
nc,124,low,0.109
nc,124,average,0.152
nc,124,high,0.180
nc,132,low,0.154
nc,132,average,0.214
nc,132,high,0.254
nc,133,low,0.154
nc,133,average,0.214
nc,133,high,0.254
nc,134,low,0.154
nc,134,average,0.214
nc,134,high,0.254
nc,135,low,0.154
nc,135,average,0.214
nc,135,high,0.254
nd,111,low,0.200
nd,111,average,0.279
nd,111,high,0.331
nd,112,low,0.200
nd,112,average,0.279
nd,112,high,0.331
nd,113,low,0.200
nd,113,average,0.279
nd,113,high,0.331
nd,121,low,0.159
nd,121,average,0.221
nd,121,high,0.263
nd,122,low,0.159
nd,122,average,0.221
nd,122,high,0.263
nd,123,low,0.159
nd,123,average,0.221
nd,123,high,0.263
nd,132,low,0.164
nd,132,average,0.228
nd,132,high,0.272
nd,133,low,0.164
nd,133,average,0.228
nd,133,high,0.272
oh,111,low,0.103
oh,111,average,0.142
oh,111,high,0.169
oh,112,low,0.103
oh,112,average,0.142
oh,112,high,0.169
oh,113,low,0.103
oh,113,average,0.142
oh,113,high,0.169
oh,123,low,0.075
oh,123,average,0.102
oh,123,high,0.121
oh,132,low,0.069
oh,132,average,0.094
oh,132,high,0.111
oh,143,low,0.160
oh,143,average,0.223
oh,143,high,0.265
oh,152,low,0.100
oh,152,average,0.138
oh,152,high,0.165
oh,161,low,0.083
oh,161,average,0.114
oh,161,high,0.135
oh,171,low,0.121
oh,171,average,0.169
oh,171,high,0.200
oh,181,low,0.094
oh,181,average,0.130
oh,181,high,0.155
oh,182,low,0.094
oh,182,average,0.130
oh,182,high,0.155
oh,183,low,0.094
oh,183,average,0.130
oh,183,high,0.155
ok,111,low,0.181
ok,111,average,0.253
ok,111,high,0.300
ok,112,low,0.181
ok,112,average,0.253
ok,112,high,0.300
ok,113,low,0.181
ok,113,average,0.253
ok,113,high,0.300
ok,114,low,0.181
ok,114,average,0.253
ok,114,high,0.300
ok,121,low,0.123
ok,121,average,0.172
ok,121,high,0.204
ok,131,low,0.154
ok,131,average,0.213
ok,131,high,0.254
ok,141,low,0.147
ok,141,average,0.206
ok,141,high,0.244
pa,110,low,0.092
pa,110,average,0.127
pa,110,high,0.150
pa,120,low,0.113
pa,120,average,0.157
pa,120,high,0.186
pa,130,low,0.121
pa,130,average,0.168
pa,130,high,0.199
pa,140,low,0.194
pa,140,average,0.272
pa,140,high,0.323
pa,150,low,0.070
pa,150,average,0.096
pa,150,high,0.113
pa,160,low,0.085
pa,160,average,0.117
pa,160,high,0.138
pa,170,low,0.092
pa,170,average,0.127
pa,170,high,0.150
pa,180,low,0.106
pa,180,average,0.146
pa,180,high,0.174
pa,190,low,0.099
pa,190,average,0.137
pa,190,high,0.163
sc,111,low,0.362
sc,111,average,0.507
sc,111,high,0.604
sc,112,low,0.362
sc,112,average,0.507
sc,112,high,0.604
sc,113,low,0.362
sc,113,average,0.507
sc,113,high,0.604
sc,114,low,0.362
sc,114,average,0.507
sc,114,high,0.604
sc,115,low,0.362
sc,115,average,0.507
sc,115,high,0.604
sc,121,low,0.306
sc,121,average,0.428
sc,121,high,0.510
sc,122,low,0.306
sc,122,average,0.428
sc,122,high,0.510
sc,123,low,0.306
sc,123,average,0.428
sc,123,high,0.510
sc,124,low,0.306
sc,124,average,0.428
sc,124,high,0.510
sd,111,low,0.129
sd,111,average,0.180
sd,111,high,0.213
sd,112,low,0.129
sd,112,average,0.180
sd,112,high,0.213
sd,121,low,0.104
sd,121,average,0.144
sd,121,high,0.172
sd,122,low,0.104
sd,122,average,0.144
sd,122,high,0.172
tx,111,low,0.112
tx,111,average,0.156
tx,111,high,0.184
tx,112,low,0.112
tx,112,average,0.156
tx,112,high,0.184
tx,113,low,0.112
tx,113,average,0.156
tx,113,high,0.184
tx,114,low,0.112
tx,114,average,0.156
tx,114,high,0.184
tx,115,low,0.112
tx,115,average,0.156
tx,115,high,0.184
tx,116,low,0.112
tx,116,average,0.156
tx,116,high,0.184
tx,117,low,0.112
tx,117,average,0.156
tx,117,high,0.184
tx,118,low,0.112
tx,118,average,0.156
tx,118,high,0.184
tx,123,low,0.098
tx,123,average,0.136
tx,123,high,0.162
tx,124,low,0.098
tx,124,average,0.136
tx,124,high,0.162
tx,125,low,0.098
tx,125,average,0.136
tx,125,high,0.162
tx,126,low,0.098
tx,126,average,0.136
tx,126,high,0.162
tx,127,low,0.098
tx,127,average,0.136
tx,127,high,0.162
tx,128,low,0.098
tx,128,average,0.136
tx,128,high,0.162
tx,136,low,0.096
tx,136,average,0.133
tx,136,high,0.158
tx,138,low,0.096
tx,138,average,0.133
tx,138,high,0.158
tx,146,low,0.094
tx,146,average,0.130
tx,146,high,0.154
va,111,low,0.113
va,111,average,0.157
va,111,high,0.186
va,112,low,0.113
va,112,average,0.157
va,112,high,0.186
va,113,low,0.113
va,113,average,0.157
va,113,high,0.186
va,114,low,0.113
va,114,average,0.157
va,114,high,0.186
va,122,low,0.115
va,122,average,0.160
va,122,high,0.190
va,132,low,0.116
va,132,average,0.162
va,132,high,0.191
va,142,low,0.094
va,142,average,0.129
va,142,high,0.154
va,144,low,0.094
va,144,average,0.129
va,144,high,0.154
wa,110,low,0.152
wa,110,average,0.212
wa,110,high,0.251
wa,120,low,0.121
wa,120,average,0.169
wa,120,high,0.200
wy,111,low,0.115
wy,111,average,0.161
wy,111,high,0.190
wy,112,low,0.115
wy,112,average,0.161
wy,112,high,0.190
wy,113,low,0.115
wy,113,average,0.161
wy,113,high,0.190
wy,114,low,0.115
wy,114,average,0.161
wy,114,high,0.190
wy,122,low,0.096
wy,122,average,0.133
wy,122,high,0.158
wy,123,low,0.096
wy,123,average,0.133
wy,123,high,0.158
wy,124,low,0.096
wy,124,average,0.133
wy,124,high,0.158
mi,111,low,0.102
mi,111,average,0.140
mi,111,high,0.167
mi,112,low,0.102
mi,112,average,0.140
mi,112,high,0.167
mi,113,low,0.102
mi,113,average,0.140
mi,113,high,0.167
mi,114,low,0.102
mi,114,average,0.140
mi,114,high,0.167
mi,123,low,0.157
mi,123,average,0.218
mi,123,high,0.259
mi,131,low,0.085
mi,131,average,0.117
mi,131,high,0.138
mi,132,low,0.085
mi,132,average,0.117
mi,132,high,0.138
mi,133,low,0.085
mi,133,average,0.117
mi,133,high,0.138
ut,110,low,0.106
ut,110,average,0.147
ut,110,high,0.175
ut,120,low,0.091
ut,120,average,0.126
ut,120,high,0.149
ut,130,low,0.094
ut,130,average,0.130
ut,130,high,0.154
ms,111,low,0.278
ms,111,average,0.389
ms,111,high,0.464
ms,112,low,0.278
ms,112,average,0.389
ms,112,high,0.464
ms,113,low,0.278
ms,113,average,0.389
ms,113,high,0.464
ms,114,low,0.278
ms,114,average,0.389
ms,114,high,0.464
tn,111,low,0.272
tn,111,average,0.381
tn,111,high,0.453
tn,112,low,0.272
tn,112,average,0.381
tn,112,high,0.453
tn,113,low,0.272
tn,113,average,0.381
tn,113,high,0.453
tn,121,low,0.242
tn,121,average,0.339
tn,121,high,0.404
tn,132,low,0.295
tn,132,average,0.413
tn,132,high,0.492
wi,111,low,0.110
wi,111,average,0.154
wi,111,high,0.182
wi,112,low,0.110
wi,112,average,0.154
wi,112,high,0.182
wi,113,low,0.110
wi,113,average,0.154
wi,113,high,0.182
wi,121,low,0.164
wi,121,average,0.228
wi,121,high,0.272
wi,131,low,0.099
wi,131,average,0.136
wi,131,high,0.162
wi,132,low,0.099
wi,132,average,0.136
wi,132,high,0.162
wi,133,low,0.099
wi,133,average,0.136
wi,133,high,0.162
nv,111,low,0.175
nv,111,average,0.243
nv,111,high,0.290
nv,112,low,0.175
nv,112,average,0.243
nv,112,high,0.290
nv,122,low,0.147
nv,122,average,0.205
nv,122,high,0.243
nv,131,low,0.157
nv,131,average,0.217
nv,131,high,0.259
nv,132,low,0.157
nv,132,average,0.217
nv,132,high,0.259
ks,111,low,0.106
ks,111,average,0.147
ks,111,high,0.175
ks,112,low,0.106
ks,112,average,0.147
ks,112,high,0.175
ks,113,low,0.106
ks,113,average,0.147
ks,113,high,0.175
ks,114,low,0.106
ks,114,average,0.147
ks,114,high,0.175
wv,110,low,0.227
wv,110,average,0.318
wv,110,high,0.378
wv,120,low,0.179
wv,120,average,0.249
wv,120,high,0.296
wv,130,low,0.181
wv,130,average,0.253
wv,130,high,0.301
al,111,low,0.571
al,111,average,0.802
al,111,high,0.956
al,112,low,0.571
al,112,average,0.802
al,112,high,0.956
al,113,low,0.571
al,113,average,0.802
al,113,high,0.956
al,114,low,0.571
al,114,average,0.802
al,114,high,0.956
al,122,low,0.091
al,122,average,0.126
al,122,high,0.149
mn,111,low,0.107
mn,111,average,0.148
mn,111,high,0.176
mn,112,low,0.107
mn,112,average,0.148
mn,112,high,0.176
mn,113,low,0.107
mn,113,average,0.148
mn,113,high,0.176
mn,114,low,0.107
mn,114,average,0.148
mn,114,high,0.176
mn,115,low,0.107
mn,115,average,0.148
mn,115,high,0.176
mn,122,low,0.171
mn,122,average,0.238
mn,122,high,0.284
mn,132,low,0.125
mn,132,average,0.174
mn,132,high,0.206
mn,141,low,0.098
mn,141,average,0.135
mn,141,high,0.161
mn,142,low,0.098
mn,142,average,0.135
mn,142,high,0.161
mn,143,low,0.098
mn,143,average,0.135
mn,143,high,0.161
mn,144,low,0.098
mn,144,average,0.135
mn,144,high,0.161
mn,145,low,0.098
mn,145,average,0.135
mn,145,high,0.161
nj,111,low,0.217
nj,111,average,0.304
nj,111,high,0.362
nj,112,low,0.217
nj,112,average,0.304
nj,112,high,0.362
nj,113,low,0.217
nj,113,average,0.304
nj,113,high,0.362
nj,122,low,0.249
nj,122,average,0.349
nj,122,high,0.416
nj,132,low,0.305
nj,132,average,0.427
nj,132,high,0.509
nj,141,low,0.200
nj,141,average,0.280
nj,141,high,0.332
nj,142,low,0.200
nj,142,average,0.280
nj,142,high,0.332
or,110,low,0.102
or,110,average,0.141
or,110,high,0.168
or,120,low,0.110
or,120,average,0.154
or,120,high,0.182
or,130,low,0.092
or,130,average,0.127
or,130,high,0.152
nh,111,low,0.237
nh,111,average,0.332
nh,111,high,0.396
nh,112,low,0.237
nh,112,average,0.332
nh,112,high,0.396
nh,113,low,0.237
nh,113,average,0.332
nh,113,high,0.396
nh,114,low,0.237
nh,114,average,0.332
nh,114,high,0.396
nh,122,low,0.203
nh,122,average,0.284
nh,122,high,0.337
nh,132,low,0.213
nh,132,average,0.298
nh,132,high,0.354
nh,133,low,0.213
nh,133,average,0.298
nh,133,high,0.354
fl,11,low,0.135
fl,11,average,0.187
fl,11,high,0.222
fl,12,low,0.135
fl,12,average,0.187
fl,12,high,0.222
fl,13,low,0.135
fl,13,average,0.187
fl,13,high,0.222
fl,14,low,0.135
fl,14,average,0.187
fl,14,high,0.222
fl,15,low,0.135
fl,15,average,0.187
fl,15,high,0.222
fl,17,low,0.135
fl,17,average,0.187
fl,17,high,0.222
fl,24,low,0.132
fl,24,average,0.184
fl,24,high,0.218
fl,31,low,0.138
fl,31,average,0.192
fl,31,high,0.228
fl,43,low,0.137
fl,43,average,0.191
fl,43,high,0.226
fl,51,low,0.114
fl,51,average,0.158
fl,51,high,0.188
fl,52,low,0.114
fl,52,average,0.158
fl,52,high,0.188
fl,53,low,0.114
fl,53,average,0.158
fl,53,high,0.188
fl,54,low,0.114
fl,54,average,0.158
fl,54,high,0.188
ak,110,low,0.246
ak,110,average,0.345
ak,110,high,0.411
ak,120,low,0.214
ak,120,average,0.299
ak,120,high,0.355
